PFco_Code,segment,risk_category,priority,action,current_stock_kg,predicted_need_kg,safety_stock_kg,restock_qty_kg,turnover_ratio,stockout_pct,overstock_pct,suggestion
1320,slow moving,overstock,RENDAH,KURANGI STOK,57.82,0.0,16.62,0.0,0.93,0.0,0.0,Stok berlebih (58 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1321,slow moving,overstock,RENDAH,KURANGI STOK,41.92,68.4,23.78,26.48,0.3,4.65,39.53,Stok berlebih (42 Kg vs kebutuhan 68 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1322,slow moving,overstock,RENDAH,KURANGI STOK,823.26,0.0,118.96,0.0,0.56,0.0,40.0,Stok berlebih (823 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1323,slow moving,overstock,RENDAH,KURANGI STOK,1410.7,0.0,296.16,0.0,0.65,0.0,100.0,Stok berlebih (1411 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1324,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,10.56,63.53,35.12,88.09,1.16,4.65,0.0,Stok kurang (11 Kg vs kebutuhan 64 Kg). Segera restock minimal 53 Kg + safety stock 35 Kg.
1325,slow moving,overstock,RENDAH,KURANGI STOK,18.5,0.0,7.49,0.0,0.12,0.0,0.0,Stok berlebih (18 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1326,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,1.9,194.79,46.5,239.39,0.44,2.38,0.0,Stok kurang (2 Kg vs kebutuhan 195 Kg). Segera restock minimal 193 Kg + safety stock 46 Kg.
1328,slow moving,perlu_perhatian,RENDAH,MONITOR & SIAPKAN,338.44,618.07,320.54,679.87,1.22,10.0,6.67,Stok mendekati batas minimum. Siapkan order pembelian 618 Kg untuk periode berikutnya.
1329,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,7.99,193.47,44.88,230.36,1.03,0.0,0.0,Stok kurang (8 Kg vs kebutuhan 193 Kg). Segera restock minimal 185 Kg + safety stock 45 Kg.
1330,slow moving,perlu_perhatian,RENDAH,MONITOR & SIAPKAN,34.58,62.52,30.84,68.77,1.3,4.65,0.0,Stok mendekati batas minimum. Siapkan order pembelian 63 Kg untuk periode berikutnya.
1331,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,225.6,551.97,196.1,522.47,0.33,3.33,30.0,Stok kurang (226 Kg vs kebutuhan 552 Kg). Segera restock minimal 326 Kg + safety stock 196 Kg.
1332,slow moving,overstock,RENDAH,KURANGI STOK,244.68,0.0,40.56,0.0,0.55,0.0,100.0,Stok berlebih (245 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1333,medium moving,understock,TINGGI,TAMBAH STOK SEGERA,10.06,85.25,28.05,103.24,1.38,13.16,0.0,Stok kurang (10 Kg vs kebutuhan 85 Kg). Segera restock minimal 75 Kg + safety stock 28 Kg.
1334,slow moving,overstock,RENDAH,KURANGI STOK,35.02,0.0,8.21,0.0,0.97,0.0,0.0,Stok berlebih (35 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1335,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,72.25,325.51,35.4,288.66,0.86,2.63,0.0,Stok kurang (72 Kg vs kebutuhan 326 Kg). Segera restock minimal 253 Kg + safety stock 35 Kg.
1336,slow moving,understock,RENDAH,TAMBAH STOK SEGERA,18.08,84.76,21.95,88.63,0.52,0.0,28.95,Stok kurang (18 Kg vs kebutuhan 85 Kg). Segera restock minimal 67 Kg + safety stock 22 Kg.
1337,slow moving,overstock,RENDAH,KURANGI STOK,11.61,0.0,18.31,0.0,0.13,0.0,0.0,Stok berlebih (12 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1338,slow moving,overstock,RENDAH,KURANGI STOK,22.05,0.0,7.73,0.0,1.01,0.0,0.0,Stok berlebih (22 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1340,slow moving,overstock,RENDAH,KURANGI STOK,57.46,0.0,10.63,0.0,0.89,0.0,0.0,Stok berlebih (57 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1341,slow moving,overstock,RENDAH,KURANGI STOK,26.46,0.0,14.17,0.0,1.89,0.0,0.0,Stok berlebih (26 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1342,slow moving,overstock,RENDAH,KURANGI STOK,1302.16,0.0,260.63,0.0,0.9,0.0,0.0,Stok berlebih (1302 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1343,slow moving,overstock,RENDAH,KURANGI STOK,139.12,0.0,36.83,0.0,0.9,0.0,0.0,Stok berlebih (139 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1345,slow moving,overstock,RENDAH,KURANGI STOK,106.47,0.0,26.28,0.0,0.15,0.0,62.5,Stok berlebih (106 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1347,slow moving,overstock,RENDAH,KURANGI STOK,198.39,0.0,43.56,0.0,0.9,0.0,0.0,Stok berlebih (198 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1348,medium moving,overstock,SEDANG,KURANGI STOK,41.16,0.0,36.24,0.0,4.35,0.0,0.0,Stok berlebih (41 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1349,slow moving,overstock,RENDAH,KURANGI STOK,54.13,0.0,53.58,0.0,0.85,6.45,0.0,Stok berlebih (54 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1353,slow moving,overstock,RENDAH,KURANGI STOK,87.8,0.0,26.65,0.0,0.58,0.0,0.0,Stok berlebih (88 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1354,slow moving,overstock,RENDAH,KURANGI STOK,52.02,127.0,33.67,74.98,0.18,0.0,61.54,Stok berlebih (52 Kg vs kebutuhan 127 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1355,slow moving,overstock,RENDAH,KURANGI STOK,350.35,0.0,79.55,0.0,0.76,0.0,0.0,Stok berlebih (350 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
1356,slow moving,overstock,RENDAH,KURANGI STOK,100.57,0.0,39.08,0.0,0.19,0.0,10.34,Stok berlebih (101 Kg vs kebutuhan 0 Kg). Kurangi pembelian dan pertimbangkan promosi/bundling untuk menghabiskan stok.
